Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
NH Fairbrother (ENG),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2
RL Powell (WI),1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8
CL White (AUS),2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4
GC Wilson (IRE),2007-2019,105,99,12,2072,113,23.81,2880,71.94,1,12,6
Najibullah Zadran (AFG),2012-2023,92,84,13,2060,104*,29.01,2312,89.10,1,15,4
CO Obuya (KENYA),2001-2014,104,89,9,2044,98*,25.55,2981,68.56,0,11,6
DJ Mitchell (NZ),2021-2025,52,47,5,2041,134,48.59,2155,94.70,6,9,0
Yasir Hameed (PAK),2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2
WPUJC Vaas (Asia/SL),1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25
KO Otieno (KENYA),1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12
A Vala (PNG),2014-2023,66,66,1,2003,104,30.81,2892,69.26,1,12,5
SV Manjrekar (IND),1988-1996,74,70,10,1994,105,33.23,3101,64.30,1,15,3
HT Tector (IRE),2020-2025,54,49,6,1992,140,46.32,2393,83.24,5,14,4
N Pooran (WI),2019-2023,61,58,8,1983,118,39.66,2000,99.15,3,11,3
MP Vaughan (ENG),2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9
CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1
GD Elliott (NZ),2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6
KJ Hughes (AUS),1977-1985,97,88,6,1968,98,24.00,2919,67.42,0,17,12
A Bagai (CAN),2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2
LMP Simmons (WI),2006-2015,68,65,3,1958,122,31.58,2680,73.05,2,16,9
Aftab Ahmed (BAN),2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8
PJL Dujon (WI),1981-1991,169,120,36,1945,82*,23.15,2881,67.51,0,6,8
M Amarnath (IND),1975-1989,85,75,12,1924,102*,30.53,3334,57.70,2,13,2
T Bavuma (SA),2016-2025,49,48,5,1912,144,44.46,2179,87.74,5,8,2
KLT Arthurton (WI),1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12
HH Pandya (IND),2016-2025,94,68,10,1904,92*,32.82,1717,110.89,0,11,4
Imran Nazir (PAK),1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10
Mohsin Khan (PAK),1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3
JV Coney (NZ),1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1
M Labuschagne (AUS),2020-2025,65,58,4,1871,124,34.64,2239,83.56,2,12,3
DJG Sammy (WI),2004-2015,126,105,30,1871,89,24.94,1870,100.05,0,9,4
MS Wade (AUS),2012-2021,97,83,12,1867,100*,26.29,2288,81.59,1,11,5
V Aravind (UAE),2019-2025,63,63,3,1865,115*,31.08,2731,68.29,2,9,6
DM de Silva (SL),2016-2023,90,82,10,1865,93,25.90,2373,78.59,0,10,4
RD Jacobs (WI),1996-2004,147,112,32,1865,80*,23.31,2662,70.06,0,9,11
M Prabhakar (IND),1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8
RK Paudel (NEP),2018-2025,72,68,5,1851,126,29.38,2465,75.09,1,11,5
Azhar Ali (PAK),2011-2018,53,53,3,1845,102,36.90,2478,74.45,3,12,3
OA Shah (ENG),2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6
MW Goodwin (ZIM),1998-2000,71,70,3,1818,112*,27.13,2654,68.50,2,8,1
Khaled Mashud (BAN),1995-2006,126,110,27,1818,71*,21.90,3315,54.84,0,7,8
BA Edgar (NZ),1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3
Samiullah Shinwari (AFG),2009-2019,84,74,12,1811,96,29.20,2765,65.49,0,11,1
DJ Hussey (AUS),2008-2013,69,61,6,1796,111,32.65,1980,90.70,1,14,4
MA Atherton (ENG),1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4
Mashrafe Mortaza (Asia/BAN),2001-2020,220,158,28,1787,51*,13.74,2041,87.55,0,1,15
Rahmanullah Gurbaz (AFG),2021-2025,49,49,1,1785,151,37.18,2033,87.80,8,6,3
IA Healy (AUS),1988-1997,168,120,36,1764,56,21.00,2104,83.84,0,4,9
KD Karthik (IND),2004-2019,94,79,21,1752,79,30.20,2392,73.24,0,9,6
Sir RJ Hadlee (NZ),1973-1990,115,98,17,1751,79,21.61,2319,75.50,0,4,4
Haris Sohail (PAK),2013-2023,45,44,5,1749,130,44.84,2046,85.48,2,14,1
Imran Farhat (PAK),2001-2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3
CB Wishart (ZIM),1996-2005,90,82,8,1719,172*,23.22,2436,70.56,2,5,8
Rashid Latif (PAK),1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8
DA Gunawardene (SL),1998-2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5
Jatinder Singh (OMA),2019-2025,61,60,2,1704,118*,29.37,2322,73.38,4,9,2
AT Rayudu (IND),2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3
ND McKenzie (SA),2000-2009,64,55,10,1688,131*,37.51,2432,69.40,2,10,2
NC Johnson (ZIM),1998-2000,48,48,2,1679,132*,36.50,2389,70.28,4,11,2
WA Young (NZ),2021-2025,46,46,5,1674,120,40.82,1934,86.55,4,10,5
BA Young (NZ),1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5
Aaron Jones (USA),2019-2025,52,52,3,1664,123*,33.95,2329,71.44,1,11,2
Ibrahim Zadran (AFG),2019-2025,36,36,3,1656,177,50.18,1993,83.09,6,7,2
Mehidy Hasan Miraz (BAN),2017-2025,108,79,11,1654,112*,24.32,2142,77.21,2,6,5
UDU Chandana (SL),1994-2007,147,111,17,1627,89,17.30,2229,72.99,0,5,8
CK Kapugedera (SL),2006-2017,102,84,7,1624,95,21.09,2254,72.04,0,8,7
N Dickwella (SL),2014-2022,55,52,1,1604,116,31.45,1717,93.41,2,9,1
Najmul Hossain Shanto (BAN),2018-2025,52,51,3,1602,122*,33.37,2021,79.26,3,10,7
MD Gunathilaka (SL),2015-2022,47,46,1,1601,133,35.57,1844,86.82,2,11,1
GM Turner (NZ),1973-1983,41,40,6,1598,171*,47.00,2348,68.05,3,9,1
WIA Fernando (SL),2016-2025,51,50,0,1589,127,31.78,1787,88.91,4,9,5
LPC Silva (SL),1999-2011,75,62,7,1587,107*,28.85,2254,70.40,1,13,6
SC Williams (WI),1994-1999,57,55,6,1586,105*,32.36,2402,66.02,1,12,6
Saleem Elahi (PAK),1995-2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3
RL Dias (SL),1979-1987,58,55,5,1573,121,31.46,2315,67.94,2,11,3
Aasif Sheikh (NEP),2021-2025,59,59,5,1569,110,29.05,2058,76.23,1,13,5
Muhammad Waseem (UAE),2022-2025,61,61,0,1567,119,25.68,1772,88.43,1,8,7
DR Smith (WI),2004-2015,105,89,5,1560,97,18.57,1683,92.69,0,8,14
UT Khawaja (AUS),2013-2019,40,39,2,1554,104,42.00,1848,84.09,2,12,2
IK Pathan (IND),2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7
SO Hetmyer (WI),2017-2025,57,52,3,1543,139,31.48,1464,105.39,5,4,3
RN ten Doeschate (NED),2006-2011,33,32,9,1541,119,67.00,1757,87.70,5,9,1
J Charles (WI),2012-2023,58,58,0,1537,130,26.50,1803,85.24,2,7,9
MA Leask (SCOT),2014-2025,89,71,14,1535,107*,26.92,1352,113.53,1,8,5
DL Houghton (ZIM),1983-1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5
LRD Mendis (SL),1975-1989,79,74,9,1527,80,23.49,2034,75.07,0,7,4
CR Woakes (ENG),2011-2023,122,88,24,1524,95*,23.81,1710,89.12,0,6,8
Azhar Mahmood (PAK),1996-2007,143,110,26,1521,67,18.10,1988,76.50,0,3,9
RS Morton (WI),2002-2010,56,51,6,1519,110*,33.75,2289,66.36,2,10,7
JJ Crowe (NZ),1983-1990,75,71,12,1518,88*,25.72,2456,61.80,0,7,6
JM Kemp (Afr/SA),2001-2007,85,66,18,1512,100*,31.50,1819,83.12,1,10,6
RD Shah (KENYA),1998-2007,56,55,1,1506,113,27.88,2298,65.53,1,12,5
Rohan Mustafa (UAE),2014-2023,81,75,5,1504,109,21.48,2366,63.56,1,7,8
MA Ouma (KENYA),2004-2014,80,77,5,1501,61,20.84,2525,59.44,0,7,6
KU Carty (WI),2022-2025,40,37,5,1495,170,46.71,1857,80.50,4,5,1
JDS Neesham (NZ),2013-2023,76,65,12,1495,97*,28.20,1496,99.93,0,7,3
MP Stoinis (AUS),2015-2024,71,64,8,1495,146*,26.69,1591,93.96,1,6,5
BA King (WI),2019-2025,55,55,2,1468,112,27.69,1763,83.26,3,8,5
GH Dockrell (IRE),2010-2025,133,94,29,1459,91*,22.44,1791,81.46,0,6,6
HJH Marshall (NZ),2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3
DJ Malan (ENG),2019-2023,30,30,4,1450,140,55.76,1488,97.44,6,7,5
DD Ebrahim (ZIM),2001-2005,82,76,6,1443,121,20.61,2540,56.81,1,4,8
MJ Santner (NZ),2015-2025,118,86,31,1438,67,26.14,1584,90.78,0,3,3
DP Conway (NZ),2021-2025,36,35,3,1431,152*,44.71,1631,87.73,5,4,2
Nasir Jamshed (PAK),2008-2015,48,48,3,1418,112,31.51,1881,75.38,3,8,5
HA Gomes (WI),1978-1987,83,64,15,1415,101,28.87,2578,54.88,1,6,5
N Boje (Afr/SA),1995-2005,115,71,18,1414,129,26.67,1594,88.70,2,4,2
MO Odumbe (KENYA),1996-2003,61,59,5,1409,83,26.09,2014,69.96,0,11,6
P Utseya (ZIM),2004-2015,164,132,48,1406,68*,16.73,2410,58.34,0,4,16
K Bhurtel (NEP),2021-2025,61,60,1,1398,115,23.69,1715,81.51,1,9,7
L Ronchi (AUS/NZ),2008-2017,85,68,9,1397,170*,23.67,1220,114.50,1,4,7
KM Jadhav (IND),2014-2020,73,52,19,1389,120,42.09,1367,101.60,2,6,2
GP Howarth (NZ),1975-1985,70,65,5,1384,76,23.06,2301,60.14,0,6,1
Rashid Khan (AFG),2015-2025,114,87,16,1384,60*,19.49,1320,104.84,0,5,8
TP Ura (PNG),2014-2023,61,61,1,1363,151,22.71,1758,77.53,1,6,4
JD Ryder (NZ),2008-2014,48,42,1,1362,107,33.21,1429,95.31,3,6,5
BC Broad (ENG),1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2
DO Obuya (KENYA),2001-2012,74,73,3,1355,93,19.35,2135,63.46,0,6,10
Anamul Haque (BAN),2012-2024,49,46,0,1352,120,29.39,1808,74.77,3,5,6
W Barresi (NED),2010-2025,55,54,5,1352,137*,27.59,1775,76.16,1,8,6
Asad Shafiq (PAK),2010-2017,60,58,4,1336,84,24.74,1979,67.50,0,9,5
PG Fulton (NZ),2004-2009,49,46,5,1334,112,32.53,1833,72.77,1,8,2
Sabbir Rahman (BAN),2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5
Gulbadin Naib (AFG),2011-2025,89,78,11,1332,82*,19.88,1767,75.38,0,5,7
KMDN Kulasekara (SL),2003-2017,184,123,37,1327,73,15.43,1629,81.46,0,4,13
Aarif Sheikh (NEP),2018-2025,61,52,6,1326,84,28.82,2019,65.67,0,9,4
JR Hopes (AUS),2005-2010,84,61,8,1326,63*,25.01,1415,93.71,0,3,1
SM Katich (AUS),2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3
TLW Cooper (NED),2010-2023,32,31,2,1319,101,45.48,1814,72.71,1,12,0
M van Lingen (NAM),2021-2024,40,39,5,1318,133,38.76,1429,92.23,5,5,2
FDM Karunaratne (SL),2011-2023,50,46,4,1316,103,31.33,1654,79.56,1,11,4
Javed Omar (BAN),1995-2007,59,59,4,1312,85*,23.85,2528,51.89,0,10,2
Raqibul Hasan (BAN),2008-2011,55,54,7,1308,89,27.82,2133,61.32,0,8,6
AA Obanda (KENYA),2007-2014,49,45,2,1306,96*,30.37,1764,74.03,0,9,2
MS Sinclair (NZ),2000-2009,54,50,4,1304,118*,28.34,2086,62.51,2,8,8
Vikramjit Singh (NED),2022-2025,46,45,1,1304,110,29.63,1820,71.64,1,8,1
MD Shanaka (SL),2016-2024,71,63,5,1299,108*,22.39,1420,91.47,2,4,6
PN Kirsten (SA),1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0
MJ Prior (ENG),2004-2011,68,62,9,1282,87,24.18,1670,76.76,0,3,5
Nasir Hossain (BAN),2011-2018,65,52,8,1281,100,29.11,1605,79.81,1,6,4
Zeeshan Maqsood (OMA),2019-2024,48,47,5,1273,109,30.30,1891,67.31,2,7,2
NR Mongia (IND),1994-2000,140,96,33,1272,69,20.19,1845,68.94,0,2,4
C Munro (NZ),2013-2019,57,53,2,1271,87,24.92,1214,104.69,0,8,7
Asif Khan (UAE),2022-2025,38,37,4,1270,151*,38.48,1569,80.94,3,7,2
JEC Franklin (NZ),2001-2013,110,80,27,1270,98*,23.96,1651,76.92,0,4,5
AB Agarkar (IND),1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10
Shoaib Mohammad (PAK),1984-1993,63,58,6,1269,126*,24.40,2492,50.92,1,8,8
Basit Ali (PAK),1993-1996,50,43,6,1265,127*,34.18,1669,75.79,1,9,3
SR Taylor (USA),2019-2024,49,49,0,1265,114,25.81,1606,78.76,1,7,8
S Samarawickrama (SL),2017-2024,50,45,5,1261,108,31.52,1356,92.99,1,8,5
MN Waller (ZIM),2009-2018,79,72,6,1259,99*,19.07,1639,76.81,0,5,10
SP O'Donnell (AUS),1985-1991,87,64,15,1242,74*,25.34,1534,80.96,0,9,5
BFW de Leede (NED),2018-2025,54,50,5,1239,123,27.53,1789,69.25,1,6,5
RR Rossouw (SA),2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5
Harbhajan Singh (Asia/IND),1998-2015,236,128,35,1237,49,13.30,1526,81.06,0,0,17
SG Law (AUS),1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3
Alok Kapali (BAN),2002-2011,69,66,3,1235,115,19.60,1817,67.96,1,5,5
Aqib Ilyas (OMA),2019-2024,32,30,2,1234,109*,44.07,1645,75.01,2,9,1
R Ravindra (NZ),2023-2025,33,29,1,1233,123*,44.03,1129,109.21,5,4,2
GM Hamilton (SCOT),1999-2010,38,38,3,1231,119,35.17,1847,66.64,2,7,1
D Mongia (IND),2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4
RW Marsh (AUS),1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7
HDPK Dharmasena (SL),1994-2004,141,87,33,1222,69*,22.62,1879,65.03,0,4,2
Shaiman Anwar (UAE),2014-2019,40,40,1,1219,106,31.25,1477,82.53,1,11,2
Noor Ali Zadran (AFG),2009-2019,51,50,1,1216,114,24.81,1923,63.23,1,7,4
TM Moody (AUS),1987-1999,76,64,12,1211,89,23.28,1747,69.31,0,10,6
Junaid Siddique (BAN),2007-2011,54,53,1,1196,100,23.00,1753,68.22,1,6,6
Mohammad Rafique (Asia/BAN),1995-2007,125,106,17,1191,77,13.38,1663,71.61,0,2,15
RW Chakabva (ZIM),2008-2022,61,57,3,1188,102,22.00,1751,67.84,1,4,3
BM Duckett (ENG),2016-2025,25,25,1,1176,165,49.00,1115,105.47,3,8,3
B Lee (AUS),2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16
B McMullen (SCOT),2022-2025,35,31,4,1175,151,43.51,1336,87.94,4,4,0
JA Rudolph (Afr/SA),2003-2006,45,39,6,1174,81,35.57,1725,68.05,0,7,0
Nawroz Mangal (AFG),2009-2016,49,48,6,1139,129,27.11,1512,75.33,2,4,4
CJA Amini (PNG),2014-2023,49,49,1,1128,109,23.50,1674,67.38,1,7,1
T Mishra (KENYA),2006-2013,42,40,7,1128,72,34.18,1534,73.53,0,8,4
Agha Salman (PAK),2022-2025,41,34,6,1116,134,39.85,1154,96.70,1,6,0
PL Mommsen (SCOT),2010-2017,44,42,6,1115,139*,30.97,1615,69.04,2,6,2
C Campher (IRE),2020-2025,43,35,2,1113,120,33.72,1409,78.99,1,7,0
MF Maharoof (SL),2004-2016,109,75,18,1113,69*,19.52,1294,86.01,0,2,3
GD Phillips (NZ),2022-2025,44,36,8,1112,106*,39.71,1091,101.92,1,5,1
CJ Anderson (NZ),2013-2017,49,45,5,1109,131*,27.72,1020,108.72,1,4,4
HS Modi (KENYA),1996-2006,63,56,9,1109,78*,23.59,1906,58.18,0,5,5
ES Szwarczynski (NED),2006-2014,41,40,3,1102,98,29.78,1615,68.23,0,10,2
VS Solanki (ENG),2000-2006,51,46,5,1097,106,26.75,1504,72.93,2,5,2
B Zuiderent (NED),1996-2011,57,56,10,1097,77*,23.84,1873,58.56,0,8,7
RL Chase (WI),2017-2025,63,48,9,1091,94,27.97,1383,78.88,0,6,5
PA Strang (ZIM),1994-2001,95,73,24,1090,47,22.24,1651,66.02,0,0,5
S Bau (PNG),2016-2023,57,57,3,1089,81*,20.16,1763,61.76,0,5,6
Towhid Hridoy (BAN),2023-2025,38,34,3,1087,100,35.06,1343,80.93,1,9,1
G Boycott (ENG),1971-1981,36,34,4,1082,105,36.06,2020,53.56,1,9,1
JN Loftie-Eaton (NAM),2021-2025,48,44,6,1078,73,28.36,1439,74.91,0,7,3
F Behardien (SA),2013-2018,59,49,14,1074,70,30.68,1097,97.90,0,6,4
Ayaan Khan (OMA),2021-2024,41,38,2,1072,105*,29.77,1427,75.12,1,5,4
NL McCullum (NZ),2009-2015,84,62,11,1070,65,20.98,1220,87.70,0,4,3
Asif Mujtaba (PAK),1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8
DW Randall (ENG),1976-1985,49,45,5,1067,88,26.67,1702,62.69,0,5,4
DS Airee (NEP),2018-2025,64,60,7,1066,105,20.11,1472,72.41,1,4,8
DS Smith (WI),2003-2013,47,45,2,1059,107,24.62,1506,70.31,1,5,4
JK Kamande (KENYA),1999-2011,86,72,11,1055,74,17.29,1685,62.61,0,3,8
IDS Smith (NZ),1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7
C Kieswetter (ENG),2010-2013,46,40,5,1054,107,30.11,1172,89.93,1,5,4
